hypothesis_id,status,rule,source_metrics,estimate,ci_lower,ci_upper,n_units,evidence_counts,notes
TD1,SUPPORTED,"both outer upper <= target -> SUPPORTED; any outer lower > target -> NOT_SUPPORTED; otherwise INCONCLUSIVE (outer family 2, alpha_row 0.025)",IID/menu_family_content_failure;IID/stage_upper_noncoverage_family,0.0186666666666666,0.0141306292998938,0.0241724881727348,3000.0,"{""repetitions"": 3000}",worst cell IID/menu_family_content_failure; physical_h3_status_unchanged=INCONCLUSIVE_CORRELATION_SENSITIVITY
TD2,SUPPORTED,"any dependent cell outer lower > target -> SUPPORTED; all six outer upper <= target -> NOT_SUPPORTED; otherwise INCONCLUSIVE (outer family 6, alpha_row 0.05/6)",GAUSSIAN_AR1_WEAK/menu_family_content_failure;GAUSSIAN_AR1_WEAK/stage_upper_noncoverage_family;HIDDEN_MARKOV/menu_family_content_failure;HIDDEN_MARKOV/stage_upper_noncoverage_family;TAIL_BURST/menu_family_content_failure;TAIL_BURST/stage_upper_noncoverage_family,0.8366666666666667,0.8198755546451385,0.852512926566086,3000.0,"{""repetitions"": 3000}",strongest exceedance cell TAIL_BURST/menu_family_content_failure; physical_h3_status_unchanged=INCONCLUSIVE_CORRELATION_SENSITIVITY
TD3,SUPPORTED,"IID false-trigger upper<=0.05, three detection lower>=0.80, three unsafe-upgrade upper<=0.05 -> SUPPORTED; any interval entirely on the failure side -> NOT_SUPPORTED; otherwise INCONCLUSIVE (outer family 7, alpha_row 0.05/7)",IID/any_diagnostic_triggered;GAUSSIAN_AR1_WEAK/diagnostic_detection;HIDDEN_MARKOV/diagnostic_detection;TAIL_BURST/diagnostic_detection;GAUSSIAN_AR1_WEAK/unsafe_pipeline_upgrade;HIDDEN_MARKOV/unsafe_pipeline_upgrade;TAIL_BURST/unsafe_pipeline_upgrade,1.0,0.9983541417717482,1.0,3000.0,"{""repetitions"": 3000}",SIMULATION_SPECIFIC_DIAGNOSTIC_OPERATING_CHARACTERISTIC; NOT_A_TEMPORAL_DEPENDENCE_CERTIFICATION_THEOREM; physical_h3_status_unchanged=INCONCLUSIVE_CORRELATION_SENSITIVITY
TD4,SUPPORTED,SUPPORTED iff zero event-inclusion counterexamples among 60200000 replay instances and zero marginal-preservation failures among 5200 coupling rows,ALL/event_inclusion_violations;ALL/coupling_marginals_not_preserved,,,,,"{""coupling_rows"": 5200, ""event_inclusion_instances"": 60200000, ""source_replay_rows"": 17200, ""stage_multiset_comparisons"": 20800}",DETERMINISTIC_AUDIT; NO_BINOMIAL_CI; NOT_A_POPULATION_PROBABILITY_CLAIM; COUPLINGS_NOT_EXHAUSTIVE; physical_h3_status_unchanged=INCONCLUSIVE_CORRELATION_SENSITIVITY
