supplement_id,experiment_scope,distribution_id,gate_regime,J,R,n,procedure,repetitions,family_failures,family_failure_rate,selected_failures,selected_failure_rate,alpha,cp_lower,cp_upper,target,status,sample_cost_per_repetition,total_sample_cost,infeasible_reason
e01-s1,sensitivity,shifted_lognormal,far,1,6,3000,split_select_certify,1000,47.0,0.047,47.0,0.047,0.05,0.0364984697219789,0.0595451014277846,0.05,INCONCLUSIVE,6000,6000000,
e01-s1,sensitivity,shifted_lognormal,far,8,1,1000,bonferroni_simultaneous,0,,,,,0.05,,,0.05,INFEASIBLE,1000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.0025 at alpha_row=0.00625
e01-s1,sensitivity,shifted_lognormal,far,8,1,1000,split_select_certify,0,,,,,0.05,,,0.05,INFEASIBLE,2000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.0025 at alpha_row=0.00625
e01-s1,sensitivity,shifted_lognormal,far,8,1,3000,bonferroni_simultaneous,1000,44.0,0.044,44.0,0.044,0.05,0.0338458324961601,0.0562147297908617,0.05,INCONCLUSIVE,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,far,8,1,3000,split_select_certify,1000,38.0,0.038,38.0,0.038,0.05,0.0285830223358065,0.0495128702559259,0.05,SUPPORTED,6000,6000000,
e01-s1,sensitivity,shifted_lognormal,far,8,6,1000,bonferroni_simultaneous,0,,,,,0.05,,,0.05,INFEASIBLE,1000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.00674846 at alpha_row=0.00104167
e01-s1,sensitivity,shifted_lognormal,far,8,6,1000,split_select_certify,0,,,,,0.05,,,0.05,INFEASIBLE,2000,0,ORDER_STATISTIC_INFEASIBLE: n=1000 too small to certify eps=0.00674846 at alpha_row=0.00104167
e01-s1,sensitivity,shifted_lognormal,far,8,6,3000,bonferroni_simultaneous,1000,13.0,0.013,3.0,0.003,0.05,0.0077062327240053,0.0205892865299083,0.05,SUPPORTED,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,far,8,6,3000,split_select_certify,1000,45.0,0.045,45.0,0.045,0.05,0.0347285917812413,0.0573262632531311,0.05,INCONCLUSIVE,6000,6000000,
e01-s1,sensitivity,shifted_lognormal,near,1,1,1000,bonferroni_simultaneous,1000,31.0,0.031,31.0,0.031,0.05,0.0225302216740382,0.0416100734800796,0.05,SUPPORTED,1000,1000000,
e01-s1,sensitivity,shifted_lognormal,near,1,1,1000,split_select_certify,1000,26.0,0.026,26.0,0.026,0.05,0.0182808920769988,0.0358943415035992,0.05,SUPPORTED,2000,2000000,
e01-s1,sensitivity,shifted_lognormal,near,1,1,3000,bonferroni_simultaneous,1000,22.0,0.022,22.0,0.022,0.05,0.0149395725303093,0.0312666313925801,0.05,SUPPORTED,3000,3000000,
e01-s1,sensitivity,shifted_lognormal,near,1,1,3000,split_select_certify,1000,35.0,0.035,35.0,0.035,0.05,0.0259760789459492,0.046138336093647,0.05,SUPPORTED,6000,6000000,
