split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,19,selected_analysis_instance,E2E,4094788,false
calibration,CAL-01,19,selected_analysis_instance,X1,100135,false
calibration,CAL-01,19,selected_analysis_instance,X2,2982503,false
calibration,CAL-01,19,selected_analysis_instance,X3,868138,false
calibration,CAL-01,19,selected_analysis_instance,X4,94012,false
calibration,CAL-01,20,selected_analysis_instance,E2E,4107093,false
calibration,CAL-01,20,selected_analysis_instance,X1,100107,false
calibration,CAL-01,20,selected_analysis_instance,X2,2987623,false
calibration,CAL-01,20,selected_analysis_instance,X3,868156,false
calibration,CAL-01,20,selected_analysis_instance,X4,101207,false
calibration,CAL-01,21,selected_analysis_instance,E2E,1067377,false
calibration,CAL-01,21,selected_analysis_instance,X1,100114,false
calibration,CAL-01,21,selected_analysis_instance,X2,12293,false
calibration,CAL-01,21,selected_analysis_instance,X3,832579,false
calibration,CAL-01,21,selected_analysis_instance,X4,72391,false
calibration,CAL-01,22,selected_analysis_instance,E2E,2057713,false
calibration,CAL-01,22,selected_analysis_instance,X1,100027,false
calibration,CAL-01,22,selected_analysis_instance,X2,3118,false
calibration,CAL-01,22,selected_analysis_instance,X3,841869,false
calibration,CAL-01,22,selected_analysis_instance,X4,1062699,false
calibration,CAL-01,23,selected_analysis_instance,E2E,4075649,false
calibration,CAL-01,23,selected_analysis_instance,X1,100073,false
calibration,CAL-01,23,selected_analysis_instance,X2,2988026,false
calibration,CAL-01,23,selected_analysis_instance,X3,862790,false
calibration,CAL-01,23,selected_analysis_instance,X4,74760,false
calibration,CAL-01,24,selected_analysis_instance,E2E,1073230,false
calibration,CAL-01,24,selected_analysis_instance,X1,100152,false
calibration,CAL-01,24,selected_analysis_instance,X2,14056,false
calibration,CAL-01,24,selected_analysis_instance,X3,830304,false
calibration,CAL-01,24,selected_analysis_instance,X4,78718,false
calibration,CAL-01,25,selected_analysis_instance,E2E,8111395,false
calibration,CAL-01,25,selected_analysis_instance,X1,100120,false
calibration,CAL-01,25,selected_analysis_instance,X2,7019214,false
calibration,CAL-01,25,selected_analysis_instance,X3,816898,false
calibration,CAL-01,25,selected_analysis_instance,X4,125163,false
