experiment_id,dgp_id,coordinate_id,n_check,kolmogorov_distance,threshold,family_alpha,seed_key,passed
e01-tds1,IID,X1,1000000,0.0007021493799362,0.0022774427744492,0.001,"[0,0,0,0,1]",True
e01-tds1,IID,X2,1000000,0.0008439512219774,0.0022774427744492,0.001,"[0,0,0,1,1]",True
e01-tds1,IID,X3,1000000,0.000975644374755,0.0022774427744492,0.001,"[0,0,0,2,1]",True
e01-tds1,IID,X4,1000000,0.0009422910276966,0.0022774427744492,0.001,"[0,0,0,3,1]",True
e01-tds1,GAUSSIAN_AR1_WEAK,X1,1000000,0.000447724083853,0.0022774427744492,0.001,"[1,0,0,0,1]",True
e01-tds1,GAUSSIAN_AR1_WEAK,X2,1000000,0.0008290733952833,0.0022774427744492,0.001,"[1,0,0,1,1]",True
e01-tds1,GAUSSIAN_AR1_WEAK,X3,1000000,0.0008812112963714,0.0022774427744492,0.001,"[1,0,0,2,1]",True
e01-tds1,GAUSSIAN_AR1_WEAK,X4,1000000,0.0010193702242408,0.0022774427744492,0.001,"[1,0,0,3,1]",True
e01-tds1,HIDDEN_MARKOV,X1,1000000,0.0013988324583616,0.0022774427744492,0.001,"[2,0,0,0,1]",True
e01-tds1,HIDDEN_MARKOV,X2,1000000,0.0011807876114267,0.0022774427744492,0.001,"[2,0,0,1,1]",True
e01-tds1,HIDDEN_MARKOV,X3,1000000,0.0007626637191847,0.0022774427744492,0.001,"[2,0,0,2,1]",True
e01-tds1,HIDDEN_MARKOV,X4,1000000,0.0014690796461714,0.0022774427744492,0.001,"[2,0,0,3,1]",True
e01-tds1,TAIL_BURST,X1,1000000,0.0006360915938904,0.0022774427744492,0.001,"[3,0,0,0,1]",True
e01-tds1,TAIL_BURST,X2,1000000,0.0007423574635445,0.0022774427744492,0.001,"[3,0,0,1,1]",True
e01-tds1,TAIL_BURST,X3,1000000,0.0008934085224436,0.0022774427744492,0.001,"[3,0,0,2,1]",True
e01-tds1,TAIL_BURST,X4,1000000,0.0006724133704927,0.0022774427744492,0.001,"[3,0,0,3,1]",True
