split,coordinate_id,planned_session_index,actual_session_id,n_units,median_ns,maximum_ns,failure_count,lag1_pearson,lag1_spearman
calibration,X3,20,session_020,150,829119.0,841583.0,0,-0.0156618677134434,0.0427774215461756
calibration,X4,1,session_001,150,84836.5,2520154.0,0,-0.0438690155536888,0.0219808125899013
calibration,X4,2,session_002,150,84344.5,1502180.0,0,0.153889237950027,0.10775984037729
calibration,X4,3,session_003,150,64646.0,2495895.0,0,-0.0536715499435729,0.1302194812261926
calibration,X4,4,session_004,150,62814.5,3538646.0,0,-0.0179803357031651,0.0437348879646072
calibration,X4,5,session_005,150,75528.0,94383.0,0,0.0085895839587001,0.120361619961654
calibration,X4,6,session_006,150,75309.0,137087.0,0,0.0362453290755368,-0.0419483128438085
calibration,X4,7,session_007,150,74991.5,553102.0,0,-0.0088677514547227,0.1460918524860465
calibration,X4,8,session_008,150,75318.0,511347.0,0,-0.011490753265209,-0.0052668048896846
calibration,X4,9,session_009,150,75192.5,100610.0,0,-0.0742212249542236,-0.0826251548620797
calibration,X4,10,session_010,150,75399.5,186375.0,0,-0.0215414046953005,0.0643983711080274
calibration,X4,11,session_011,150,75546.5,199029.0,0,-0.0057720918937249,-0.0610687715231528
calibration,X4,12,session_012,150,75589.5,93478.0,0,0.0024056290524982,-0.0350648384797195
calibration,X4,13,session_013,150,75350.0,118413.0,0,-0.0238382184558159,0.0630658247732166
calibration,X4,14,session_014,150,75498.5,89410.0,0,-0.0758575532662053,-0.0381247097747852
calibration,X4,15,session_015,150,75400.0,546354.0,0,-0.0096024443059276,0.1189288512885999
calibration,X4,16,session_016,150,75469.0,100007.0,0,0.0149424547108325,0.1036347014404214
calibration,X4,17,session_017,150,75561.5,518650.0,0,-0.0101949855614239,0.1012751793504385
calibration,X4,18,session_018,150,75488.0,97986.0,0,-0.0088501846797491,0.0512112389918283
calibration,X4,19,session_019,150,75459.0,163080.0,0,0.0062866168516442,0.0885999949210771
calibration,X4,20,session_020,150,75265.5,79163.0,0,-0.0618006454406054,0.0729776597520007
calibration,E2E,1,session_001,150,1102498.5,10088012.0,0,-0.0287718734085863,-0.0392272809722474
calibration,E2E,2,session_002,150,1450514.0,9095449.0,0,-0.0520022904874679,-0.0307128605115182
calibration,E2E,3,session_003,150,1072870.0,9036901.0,0,0.1265045537027117,0.0367712679122075
calibration,E2E,4,session_004,150,1061712.5,5505489.0,0,0.0219556171916303,0.0097732631960819
calibration,E2E,5,session_005,150,1069794.0,1088820.0,0,0.0799182300933753,0.15411719251657
calibration,E2E,6,session_006,150,1069594.5,1134366.0,0,0.0359565185616218,-0.1143156695652805
