instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
syn_4_3_1_14,synthetic,4,3,1,0.01,pareto_dp,True,1355862,0.00925,3.0,43800,,15519549800955992495,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_15,synthetic,4,3,1,0.01,pareto_dp,True,1329103,0.00925,4.0,49500,,7162269041708621202,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_16,synthetic,4,3,1,0.01,pareto_dp,True,1188912,0.00925,3.0,44300,,17612980923589086891,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_17,synthetic,4,3,1,0.01,pareto_dp,True,716280,0.00925,3.0,43500,,9602119372426234579,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_18,synthetic,4,3,1,0.01,pareto_dp,True,860425,0.00925,3.0,45200,,3127612904611529279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_19,synthetic,4,3,1,0.01,pareto_dp,True,826678,0.00925,4.0,49700,,4514323210357745062,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_00,synthetic,4,3,4,0.01,pareto_dp,True,1582967,0.00925,3.0,47700,,4573766533958328254,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_01,synthetic,4,3,4,0.01,pareto_dp,True,1756752,0.00925,3.0,47400,,5292003921811953130,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_02,synthetic,4,3,4,0.01,pareto_dp,True,2013419,0.00925,3.0,49200,,17592892111087812148,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_03,synthetic,4,3,4,0.01,pareto_dp,True,1775337,0.00925,3.0,47900,,1366483428483644973,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_4_04,synthetic,4,3,4,0.01,pareto_dp,True,2026860,0.00925,3.0,46400,,13707076019043315279,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
