instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
syn_4_3_1_04,synthetic,4,3,1,0.01,greedy_gate_catching,True,1399232,0.00925,,145200,,8917639509637200707,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_05,synthetic,4,3,1,0.01,pareto_dp,True,791899,0.00925,3.0,45400,,17762360866143615167,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_05,synthetic,4,3,1,0.01,equal_risk,True,879462,0.008,,39100,,17762360866143615167,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_05,synthetic,4,3,1,0.01,proportional_risk,True,879462,0.008,,55600,,17762360866143615167,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_05,synthetic,4,3,1,0.01,greedy_gate_catching,True,791899,0.00925,,139500,,17762360866143615167,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_06,synthetic,4,3,1,0.01,pareto_dp,True,1113859,0.00925,3.0,46100,,157270250071638023,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_06,synthetic,4,3,1,0.01,equal_risk,True,1307451,0.008,,40100,,157270250071638023,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_06,synthetic,4,3,1,0.01,proportional_risk,True,1307451,0.008,,56900,,157270250071638023,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_06,synthetic,4,3,1,0.01,greedy_gate_catching,True,1113859,0.00925,,137600,,157270250071638023,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_07,synthetic,4,3,1,0.01,pareto_dp,True,1276082,0.00925,3.0,46400,,8589349825586867944,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_07,synthetic,4,3,1,0.01,equal_risk,True,1433918,0.008,,39300,,8589349825586867944,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_07,synthetic,4,3,1,0.01,proportional_risk,True,1433918,0.008,,55000,,8589349825586867944,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_07,synthetic,4,3,1,0.01,greedy_gate_catching,True,1276082,0.00925,,135400,,8589349825586867944,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_08,synthetic,4,3,1,0.01,pareto_dp,True,708629,0.00925,4.0,47600,,3555987409075831408,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_08,synthetic,4,3,1,0.01,equal_risk,True,774180,0.008,,38600,,3555987409075831408,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_08,synthetic,4,3,1,0.01,proportional_risk,True,774180,0.008,,48800,,3555987409075831408,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_08,synthetic,4,3,1,0.01,greedy_gate_catching,True,708629,0.00925,,136900,,3555987409075831408,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_09,synthetic,4,3,1,0.01,pareto_dp,True,906152,0.00925,3.0,43200,,17769990851087747771,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_09,synthetic,4,3,1,0.01,equal_risk,True,999026,0.008,,37300,,17769990851087747771,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_09,synthetic,4,3,1,0.01,proportional_risk,True,999026,0.008,,55100,,17769990851087747771,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_09,synthetic,4,3,1,0.01,greedy_gate_catching,True,906152,0.00925,,136500,,17769990851087747771,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_10,synthetic,4,3,1,0.01,pareto_dp,True,871388,0.00925,3.0,44400,,9111494899183805626,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_10,synthetic,4,3,1,0.01,equal_risk,True,1045884,0.008,,40400,,9111494899183805626,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
