phase_ns,run_id,instance_id,eligibility_ns,predicted_cycle,observed_cycle,reference_match,phase_bound_ns,maxwait_bound_ns,observed_e2e_ns,wait_ns,observed_wait_ns,reschedule_count,sweep
100000,9009,34,1417277368,1417,1417,True,422851,1050218,422851,122632,180774,0,coarse
100000,9009,35,1418286351,1418,1418,True,447581,1083931,447581,113649,178999,0,coarse
100000,9009,36,1419279503,1419,1419,True,3866308,4495810,3866308,120497,180787,0,coarse
100000,9009,37,1420279960,1420,1420,True,2879263,3509222,2879263,120040,178334,0,coarse
100000,9009,38,1421280535,1421,1421,True,1885512,2516046,1885512,119465,177740,0,coarse
100000,9009,39,1422280326,1422,1422,True,890005,1520330,890005,119674,177740,0,coarse
150000,9010,32,1578325360,1578,1578,True,370363,1045722,370363,74640,131426,0,coarse
150000,9010,33,1579327641,1579,1579,True,372371,1050011,372371,72359,129633,0,coarse
150000,9010,34,1580328299,1580,1580,True,373434,1051732,373434,71701,130068,0,coarse
150000,9010,35,1581330049,1581,1581,True,373670,1053718,373670,69951,128265,0,coarse
150000,9010,36,1582328676,1582,1582,True,374213,1052888,374213,71324,129682,0,coarse
150000,9010,37,1583328259,1583,1583,True,373181,1051439,373181,71741,129906,0,coarse
150000,9010,38,1584328740,1584,1584,True,374616,1053355,374616,71260,129466,0,coarse
150000,9010,39,1585328172,1585,1585,True,375288,1053459,375288,71828,130975,0,coarse
150000,9011,32,1741326542,1741,1741,True,374583,1051124,374583,73458,130697,0,coarse
150000,9011,33,1742328508,1742,1742,True,374623,1053130,374623,71492,129611,0,coarse
150000,9011,34,1743329049,1743,1743,True,374064,1053112,374064,70951,129127,0,coarse
150000,9011,35,1744328314,1744,1744,True,373811,1052124,373811,71686,129838,0,coarse
150000,9011,36,1745328204,1745,1745,True,373965,1052168,373965,71796,130023,0,coarse
150000,9011,37,1746327219,1746,1746,True,373199,1050417,373199,72781,130917,0,coarse
150000,9011,38,1747329148,1747,1747,True,374178,1053325,374178,70852,129130,0,coarse
150000,9011,39,1748328265,1748,1748,True,374131,1052395,374131,71735,129916,0,coarse
150000,9012,32,1910326394,1910,1910,True,390586,1066979,390586,73606,134746,0,coarse
150000,9012,33,1911318932,1911,1911,True,373253,1042184,373253,81068,136527,0,coarse
150000,9012,34,1912321534,1912,1912,True,369464,1040997,369464,78466,135430,0,coarse
150000,9012,35,1913320846,1913,1913,True,368047,1038892,368047,79154,133907,0,coarse
150000,9012,36,1914320395,1914,1914,True,369991,1040385,369991,79605,135237,0,coarse
150000,9012,37,1915348624,1915,1915,True,346949,1045572,346949,51376,107359,0,coarse
150000,9012,38,1916327483,1916,1916,True,369095,1046577,369095,72517,129098,0,coarse
150000,9012,39,1917324917,1917,1917,True,373255,1048171,373255,75083,132415,0,coarse
200000,9013,32,2070378669,2070,2070,True,333716,1062384,333716,21331,79335,0,coarse
200000,9013,33,2071377883,2071,2071,True,332219,1060101,332219,22117,80217,0,coarse
200000,9013,34,2072378356,2072,2072,True,327597,1055952,327597,21644,79744,0,coarse
200000,9013,35,2073377502,2073,2073,True,324253,1051754,324253,22498,80646,0,coarse
200000,9013,36,2074377989,2074,2074,True,323573,1051561,323573,22011,80102,0,coarse
200000,9013,37,2075379334,2075,2075,True,322969,1052302,322969,20666,79327,0,coarse
200000,9013,38,2076377165,2076,2076,True,324138,1051302,324138,22835,80987,0,coarse
200000,9013,39,2077378511,2077,2077,True,327964,1056474,327964,21489,79644,0,coarse
200000,9014,32,2233377538,2233,2233,True,325040,1052577,325040,22462,81486,0,coarse
200000,9014,33,2234377603,2234,2234,True,325623,1053225,325623,22397,81704,0,coarse
200000,9014,34,2235377339,2235,2235,True,326959,1054297,326959,22661,80689,0,coarse
200000,9014,35,2236380159,2236,2236,True,323605,1053763,323605,19841,77973,0,coarse
200000,9014,36,2237376346,2237,2237,True,323808,1050153,323808,23654,81791,0,coarse
200000,9014,37,2238379184,2238,2238,True,322080,1051263,322080,20816,78877,0,coarse
200000,9014,38,2239379259,2239,2239,True,330368,1059626,330368,20741,78837,0,coarse
200000,9014,39,2240383991,2240,2240,True,337454,1071444,337454,16009,78407,0,coarse
200000,9015,32,2442371442,2442,2442,True,327980,1049421,327980,28558,82744,0,coarse
200000,9015,33,2443369585,2443,2443,True,324576,1044160,324576,30415,84304,0,coarse
200000,9015,34,2444368447,2444,2444,True,319043,1037489,319043,31553,84837,0,coarse
200000,9015,35,2445366839,2445,2445,True,317238,1034076,317238,33161,86593,0,coarse
200000,9015,36,2446372912,2446,2446,True,309036,1031947,309036,27088,79576,0,coarse
200000,9015,37,2447366508,2447,2447,True,316489,1032996,316489,33492,85700,0,coarse
200000,9015,38,2448366825,2448,2448,True,308643,1025467,308643,33175,85153,0,coarse
200000,9015,39,2449363916,2449,2449,True,309891,1023806,309891,36084,87878,0,coarse
250000,9016,32,2594426362,2594,2594,True,300961,1050960,300961,0,58222,0,coarse
250000,9016,33,2595427292,2595,2595,True,301758,1051757,301758,0,58152,0,coarse
250000,9016,34,2596427577,2596,2596,True,301855,1051854,301855,0,58155,0,coarse
250000,9016,35,2597428874,2597,2597,True,303873,1053872,303873,0,58227,0,coarse
250000,9016,36,2598430933,2598,2598,True,305995,1055994,305995,0,58157,0,coarse
250000,9016,37,2599429435,2599,2599,True,316665,1066664,316665,0,58147,0,coarse
250000,9016,38,2600428167,2600,2600,True,308326,1058325,308326,0,58185,0,coarse
